"","year","datanum","serial","hhwt","region","stateicp","county","urban","gq","pernum","perwt","sex","age","race","raced","bpl","bpld","school","higrade","higraded"
"686124","1940",2,27117016,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",12,"12th grade"
"686126","1940",2,27117017,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"686128","1940",2,27117019,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"686130","1940",2,27117023,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","Yes, in school",12,"12th grade"
"686131","1940",2,27117023,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"686133","1940",2,27117026,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","Yes, in school",12,"12th grade"
"686134","1940",2,27117026,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",9,"9th grade"
"686145","1940",2,27117031,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",5,1,"Male","20","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"686146","1940",2,27117032,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",1,1,"Male","20","White","White","Ohio","Ohio","No, not in school",6,"6th grade"
"686157","1940",2,27117046,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"686162","1940",2,27117049,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"686164","1940",2,27117049,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",5,1,"Male","19","White","White","Ohio","Ohio","Yes, in school",5,"5th grade"
"686167","1940",2,27117052,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",5,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"686170","1940",2,27117054,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"686174","1940",2,27117056,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",10,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",9,"9th grade"
"686176","1940",2,27117057,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","19","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"686177","1940",2,27117057,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",5,1,"Male","17","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"686181","1940",2,27117058,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","20","White","White","Ohio","Ohio","Yes, in school",15,"3rd year of college"
"686185","1940",2,27117061,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","18","White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"686190","1940",2,27117074,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"686196","1940",2,27117082,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"686206","1940",2,27117087,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",6,1,"Male","20","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"686210","1940",2,27117092,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"686217","1940",2,27117096,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"686225","1940",2,27117098,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",5,1,"Male","17","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"686237","1940",2,27117103,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",5,1,"Male","20","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"686238","1940",2,27117105,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"686244","1940",2,27117111,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","20","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"686245","1940",2,27117111,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",5,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"686247","1940",2,27117118,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"686249","1940",2,27117119,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","19","White","White","Ohio","Ohio","No, not in school",11,"11th grade"
"686255","1940",2,27117128,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"686261","1940",2,27117133,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"686262","1940",2,27117133,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","18","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"686266","1940",2,27117134,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"686269","1940",2,27117138,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",12,"12th grade"
"686280","1940",2,27117148,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",1,1,"Male","21","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"686283","1940",2,27117152,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",12,"12th grade"
"686295","1940",2,27117163,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"686298","1940",2,27117165,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"686304","1940",2,27117173,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"686314","1940",2,27117185,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Kentucky","Kentucky","No, not in school",7,"7th grade"
"686324","1940",2,27117192,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","18","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"686325","1940",2,27117194,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",5,1,"Male","20","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"686331","1940",2,27117196,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","19","White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"686337","1940",2,27117205,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","20","White","White","Kentucky","Kentucky","No, not in school",10,"10th grade"
"686343","1940",2,27117207,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","20","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"686344","1940",2,27117207,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",5,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",9,"9th grade"
"686351","1940",2,27117214,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
