"","year","datanum","serial","hhwt","region","stateicp","county","urban","gq","pernum","perwt","sex","age","race","raced","bpl","bpld","school","higrade","higraded"
"688040","1940",2,27119152,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","21","White","White","West Virginia","West Virginia","No, not in school",9,"9th grade"
"688044","1940",2,27119155,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",1,1,"Male","21","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"688052","1940",2,27119164,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",1,1,"Male","20","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688056","1940",2,27119168,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"688061","1940",2,27119172,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","19","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688062","1940",2,27119173,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",2,1,"Male","20","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"688063","1940",2,27119175,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"688065","1940",2,27119179,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"688071","1940",2,27119183,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"688073","1940",2,27119185,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","19","White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"688076","1940",2,27119193,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688083","1940",2,27119204,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","20","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"688086","1940",2,27119210,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","18","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688087","1940",2,27119212,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",9,"9th grade"
"688094","1940",2,27119223,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",2,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688096","1940",2,27119224,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","19","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688100","1940",2,27119225,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",2,1,"Male","18","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688101","1940",2,27119233,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"688102","1940",2,27119241,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","No, not in school",6,"6th grade"
"688110","1940",2,27119246,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688115","1940",2,27119251,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"688116","1940",2,27119252,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",5,1,"Male","19","White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"688117","1940",2,27119252,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",6,1,"Male","17","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"688123","1940",2,27119257,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"688124","1940",2,27119257,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",12,"12th grade"
"688128","1940",2,27119262,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",7,1,"Male","21","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"688131","1940",2,27119263,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",7,"7th grade"
"688137","1940",2,27119278,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688148","1940",2,27119285,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688150","1940",2,27119286,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",2,1,"Male","18","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"688153","1940",2,27119295,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"688157","1940",2,27119296,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",5,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688163","1940",2,27119303,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",5,1,"Male","17","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"688167","1940",2,27119304,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688168","1940",2,27119304,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",12,"12th grade"
"688171","1940",2,27119306,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",1,1,"Male","19","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"688173","1940",2,27119308,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"688174","1940",2,27119308,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",9,"9th grade"
"688184","1940",2,27119318,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",12,"12th grade"
"688195","1940",2,27119328,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"688196","1940",2,27119332,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"688202","1940",2,27119340,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"688209","1940",2,27119348,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688210","1940",2,27119349,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"688216","1940",2,27119360,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","17","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"688222","1940",2,27119363,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",1,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688233","1940",2,27119373,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"688238","1940",2,27119373,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",8,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",6,"6th grade"
"688244","1940",2,27119385,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"688246","1940",2,27119393,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"688247","1940",2,27119397,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"688253","1940",2,27119412,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688257","1940",2,27119414,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"688258","1940",2,27119415,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688264","1940",2,27119425,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"688267","1940",2,27119441,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",2,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"688272","1940",2,27119443,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",6,"6th grade"
"688284","1940",2,27119462,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"688289","1940",2,27119465,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"688290","1940",2,27119465,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","21","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"688297","1940",2,27119478,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"688308","1940",2,27119493,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","Yes, in school",12,"12th grade"
"688309","1940",2,27119493,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"688311","1940",2,27119500,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"688314","1940",2,27119509,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688315","1940",2,27119509,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","18","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688320","1940",2,27119513,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",5,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"688327","1940",2,27119524,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688336","1940",2,27119544,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688337","1940",2,27119545,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",2,1,"Male","20","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688339","1940",2,27119545,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"688345","1940",2,27119554,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","20","White","White","Ohio","Ohio","No, not in school",11,"11th grade"
"688347","1940",2,27119554,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",6,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"688353","1940",2,27119556,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"688354","1940",2,27119556,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",9,"9th grade"
"688355","1940",2,27119563,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"688356","1940",2,27119563,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","18","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"688363","1940",2,27119572,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"688374","1940",2,27119588,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",2,1,"Male","18","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688389","1940",2,27119614,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","17","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"688398","1940",2,27119624,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"688402","1940",2,27119626,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",2,1,"Male","19","White","White","Ohio","Ohio","No, not in school",6,"6th grade"
"688406","1940",2,27119629,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"688410","1940",2,27119630,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",1,1,"Male","21","White","White","Ohio","Ohio","No, not in school",4,"4th grade"
"688412","1940",2,27119632,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","No, not in school",5,"5th grade"
"688415","1940",2,27119636,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",1,1,"Male","21","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"688417","1940",2,27119639,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","West Virginia","West Virginia","No, not in school",8,"8th grade"
"688427","1940",2,27119644,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",12,"12th grade"
"688429","1940",2,27119645,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","19","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688432","1940",2,27119648,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"688441","1940",2,27119656,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",9,"9th grade"
"688451","1940",2,27119668,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","19","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688455","1940",2,27119670,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688456","1940",2,27119671,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","20","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688458","1940",2,27119672,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688460","1940",2,27119674,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688462","1940",2,27119675,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",5,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688465","1940",2,27119686,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"688466","1940",2,27119686,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","20","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"688467","1940",2,27119687,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","20","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688469","1940",2,27119690,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",1,1,"Male","21","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"688471","1940",2,27119691,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688473","1940",2,27119694,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688474","1940",2,27119695,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"688480","1940",2,27119698,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",1,1,"Male","21","White","White","Indiana","Indiana","No, not in school",10,"10th grade"
"688485","1940",2,27119700,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"688493","1940",2,27119704,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",9,"9th grade"
"688495","1940",2,27119704,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",6,1,"Male","17","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"688496","1940",2,27119706,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688497","1940",2,27119706,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",9,"9th grade"
"688501","1940",2,27119709,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",2,1,"Male","18","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688506","1940",2,27119717,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",1,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688508","1940",2,27119718,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",2,1,"Male","18","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"688509","1940",2,27119719,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",5,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688514","1940",2,27119720,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"688530","1940",2,27119739,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"688544","1940",2,27119749,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",-2,"None"
"688550","1940",2,27119752,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688553","1940",2,27119753,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688554","1940",2,27119753,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","18","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688580","1940",2,27119772,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"688588","1940",2,27119782,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"688596","1940",2,27119787,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688601","1940",2,27119792,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",3,"3rd grade"
"688624","1940",2,27119803,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","18","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"688627","1940",2,27119804,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","20","White","White","Ohio","Ohio","Yes, in school",13,"1st year of college"
"688636","1940",2,27119809,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",8,"8th grade"
"688641","1940",2,27119817,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","20","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"688642","1940",2,27119817,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",5,1,"Male","17","White","White","Ohio","Ohio","No, not in school",3,"3rd grade"
"688644","1940",2,27119818,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","Kentucky","Kentucky","No, not in school",12,"12th grade"
"688646","1940",2,27119819,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"688656","1940",2,27119841,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"688671","1940",2,27119855,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",5,1,"Male","17","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"688677","1940",2,27119857,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"688679","1940",2,27119860,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","21","White","White","Ohio","Ohio","Yes, in school",12,"12th grade"
"688682","1940",2,27119863,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","21","White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"688687","1940",2,27119869,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",12,"12th grade"
"688698","1940",2,27119877,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","19","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"688699","1940",2,27119879,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",1,1,"Male","18","White","White","Ohio","Ohio","No, not in school",11,"11th grade"
"688700","1940",2,27119880,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"688710","1940",2,27119886,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688711","1940",2,27119887,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",1,1,"Male","20","White","White","Ohio","Ohio","No, not in school",5,"5th grade"
"688712","1940",2,27119888,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","20","White","White","Indiana","Indiana","No, not in school",8,"8th grade"
"688718","1940",2,27119893,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688720","1940",2,27119894,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","No, not in school",6,"6th grade"
"688723","1940",2,27119896,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",8,"8th grade"
"688724","1940",2,27119898,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",1,1,"Male","21","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"688734","1940",2,27119911,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",1,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688737","1940",2,27119915,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"688738","1940",2,27119915,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","18","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"688745","1940",2,27119918,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",1,1,"Male","20","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"688747","1940",2,27119919,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","18","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"688762","1940",2,27119935,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"688775","1940",2,27119953,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"688782","1940",2,27119963,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688785","1940",2,27119971,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688791","1940",2,27119981,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",11,"11th grade"
"688792","1940",2,27119981,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","17","White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"688793","1940",2,27119982,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"688797","1940",2,27119983,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","19","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"688809","1940",2,27120002,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
